2.00,628.85,10.68,14.83,6.21,99.75896,0.0,0.0
2.17,626.21,10.68,15.36,0.00,99.75895,0.0,2.01
2.38,607.97,10.20,15.39,0.00,99.75895,0.0,4.03
2.38,610.55,10.22,15.34,0.00,99.75895,0.0,6.04
1.71,631.50,10.17,15.29,0.00,99.75895,0.0,8.06
2.25,620.96,9.71,15.27,0.00,99.75895,0.0,10.08
2.04,610.55,10.12,15.29,0.00,99.75895,0.0,12.09
2.17,600.28,9.98,15.24,0.00,99.75895,0.0,14.11
1.96,631.50,9.76,15.25,0.00,99.75895,0.0,16.11
2.29,626.21,9.68,15.28,0.00,99.75895,0.0,18.12
1.50,680.74,9.97,14.97,0.86,99.75875,0.0,20.12
2.00,647.58,9.97,15.05,0.01,99.75875,0.0,22.13
2.17,650.29,9.68,15.01,0.84,99.75871,0.0,24.14
1.58,672.32,9.71,15.03,0.57,99.75851,0.0,0.0
1.58,718.24,10.17,15.01,0.29,99.75846,0.0,0.0
1.96,736.14,9.76,15.06,0.69,99.75843,0.0,0.0
2.08,712.36,10.39,15.03,0.67,99.75840,0.0,0.0
2.13,754.42,10.27,15.05,0.66,99.75824,0.0,0.0
1.67,776.26,10.31,15.02,0.47,99.75821,0.0,0.0
1.63,887.05,10.78,15.03,0.48,99.75817,0.0,0.0
2.04,942.03,10.76,15.06,0.53,99.75814,0.0,0.0
1.46,845.20,10.46,15.03,0.31,99.75807,0.0,0.0
1.58,838.40,10.87,15.06,0.69,99.75804,0.0,0.0
1.63,912.33,10.80,15.01,0.64,99.75801,0.0,0.0
1.50,897.80,10.49,15.02,0.37,99.75798,0.0,0.0
2.08,915.99,10.59,15.06,0.60,99.75784,0.0,0.0
1.54,869.38,10.58,15.02,0.54,99.75782,0.0,0.0
1.58,858.94,10.63,15.02,0.47,99.75778,0.0,0.0
1.38,923.36,10.63,15.13,0.50,99.75777,0.0,0.0
1.71,855.49,10.92,15.00,0.45,99.75766,0.0,0.0
1.79,795.42,10.76,15.04,0.17,99.75765,0.0,0.0
1.79,785.79,10.71,15.03,0.45,99.75762,0.0,0.0
1.29,788.99,11.17,15.13,0.39,99.75760,0.0,0.0
1.79,821.63,11.16,15.02,0.46,99.75749,0.0,0.0
1.54,766.83,11.27,15.01,0.43,99.75748,0.0,0.0
1.67,766.83,11.31,15.04,0.31,99.75746,0.0,0.0
1.75,824.96,11.31,15.15,0.59,99.75743,0.0,0.0
2.00,821.63,11.31,15.03,0.44,99.75733,0.0,0.0
2.04,769.96,11.41,15.02,0.38,99.75732,0.0,0.0
1.46,766.83,11.41,15.00,0.50,99.75730,0.0,0.0
1.38,798.65,11.02,15.13,0.57,99.75729,0.0,0.0
1.67,805.16,11.05,15.00,0.14,99.75726,0.0,0.0
1.71,835.02,11.17,15.02,0.30,99.75725,0.0,0.0
2.13,865.89,11.63,15.02,0.42,99.75724,0.0,0.0
1.42,915.99,11.63,15.06,0.37,99.75721,0.0,0.0
1.63,905.04,11.58,15.02,0.47,99.75710,0.0,0.0
1.38,923.36,11.73,14.99,0.47,99.75708,0.0,0.0
1.46,852.05,11.73,15.01,0.45,99.75708,0.0,0.0
2.04,876.41,11.67,15.02,0.31,99.75708,0.0,0.0
1.38,890.62,11.72,15.02,0.44,99.75697,0.0,0.0
2.13,865.89,11.82,15.03,0.43,99.75697,0.0,0.0
1.33,872.89,11.85,15.00,0.49,99.75697,0.0,0.0
1.63,908.68,11.58,15.01,0.40,99.75688,0.0,0.0
1.96,912.33,11.44,15.03,0.45,99.75688,0.0,0.0
1.71,942.03,11.55,14.99,0.35,99.75687,0.0,0.0
1.67,930.79,12.01,14.99,0.21,99.75687,0.0,0.0
1.58,905.04,12.07,14.98,0.31,99.75679,0.0,0.0
1.08,915.99,11.97,14.99,0.37,99.75679,0.0,0.0
1.50,934.53,11.77,15.02,0.38,99.75679,0.0,0.0
2.00,908.68,12.23,15.01,0.47,99.75678,0.0,0.0
1.83,923.36,12.21,15.56,0.00,99.75678,0.0,0.0
2.42,919.67,12.31,15.60,0.00,99.75678,0.0,0.0
2.54,957.22,12.26,15.58,0.00,99.75678,0.0,0.0
2.04,942.03,12.26,15.57,0.00,99.75678,0.0,0.0
2.00,912.33,12.26,15.57,0.00,99.75678,0.0,0.0
2.29,938.27,12.26,15.60,0.00,99.75678,0.0,0.0
2.50,961.05,12.26,15.58,0.00,99.75678,0.0,0.0
2.04,953.40,12.26,15.56,0.00,99.75678,0.0,0.0
2.25,919.67,12.19,15.58,0.00,99.75678,0.0,0.0
2.54,923.36,12.31,15.61,0.00,99.75678,0.0,0.0
2.50,927.07,11.87,15.59,0.00,99.75678,0.0,0.0
2.21,942.03,11.87,15.57,0.00,99.75678,0.0,0.0
2.29,957.22,11.85,15.59,0.00,99.75678,0.0,0.0
2.46,905.04,12.26,15.62,0.00,99.75678,0.0,0.0
2.46,905.04,12.26,15.59,0.00,99.75678,0.0,0.0
2.21,919.67,12.31,15.57,0.00,99.75678,0.0,0.0
2.08,919.67,11.75,15.60,0.00,99.75678,0.0,0.0
2.58,908.68,11.90,15.62,0.00,99.75678,0.0,0.0
2.38,912.33,11.87,15.58,0.00,99.75678,0.0,0.0
1.96,905.04,11.87,15.58,0.00,99.75678,0.0,0.0
2.13,953.40,12.26,15.60,0.00,99.75678,0.0,0.0
2.29,908.68,12.26,15.62,0.00,99.75678,0.0,0.0
2.38,927.07,12.21,15.58,0.00,99.75678,0.0,0.0
2.17,915.99,12.31,15.58,0.00,99.75678,0.0,0.0
1.96,930.79,11.87,15.62,0.00,99.75678,0.0,0.0
2.33,901.41,11.87,15.61,0.00,99.75678,0.0,0.0
2.25,953.40,11.85,15.58,0.00,99.75678,0.0,0.0
2.21,953.40,11.87,15.59,0.00,99.75678,0.0,0.0
2.33,912.33,12.31,15.63,0.00,99.75678,0.0,0.0
2.17,919.67,12.31,15.61,0.00,99.75678,0.0,0.0
2.25,953.40,12.26,15.58,0.00,99.75678,0.0,0.0
2.08,957.22,12.26,15.59,0.00,99.75678,0.0,0.0
2.38,901.41,12.31,15.62,0.00,99.75678,0.0,0.0
2.58,912.33,12.31,15.61,0.00,99.75678,0.0,0.0
1.92,945.81,11.77,15.58,0.00,99.75678,0.0,0.0
2.21,919.67,11.87,15.60,0.00,99.75678,0.0,0.0
2.50,912.33,11.87,15.64,0.00,99.75678,0.0,0.0
2.54,942.03,12.31,15.60,0.00,99.75678,0.0,0.0
2.08,953.40,12.31,15.58,0.00,99.75678,0.0,0.0
2.25,942.03,12.31,15.59,0.00,99.75678,0.0,0.0
2.58,919.67,12.31,15.63,0.00,99.75678,0.0,0.0
2.50,905.04,12.31,15.59,0.00,99.75678,0.0,0.0
1.88,949.60,11.87,15.58,0.00,99.75678,0.0,0.0
