6.88,144.34,10,16.27,0,100,0.01,0.01,,,,,
6.87,143.85,10,19.17,0,99.99992,2.03,2.03,,,,,
6.86,143.85,10,19.24,0,99.99984,4.04,4.04,,,,,
6.85,146.73,10,11.6,10.21,99.99732,6.05,6.05,,,,,
6.87,148.89,10,9.76,11.55,99.99427,8.06,8.06,,,,,
6.85,153.33,10,9.98,16.63,99.99038,10.07,10.07,,,,,
6.83,170.9,27,8.46,23.7,99.98471,12.09,12.09,,,,,
6.82,182.88,10,7.96,19.73,99.97558,14.1,14.1,,,,,
6.81,185.36,27,7.57,19.55,99.96623,16.11,16.11,,,,,
6.81,194.9,11,8.49,19.76,99.957,18.12,18.12,,,,,
6.81,201.76,11,8.12,18.45,99.94853,20.13,20.13,,,,,
6.82,219.61,12,8.05,19.77,99.93954,22.15,22.15,,,,,
6.83,233.32,12,7.81,21.49,99.92994,24.17,24.17,,,,,
6.82,228.33,12,7.61,22.54,99.91995,26.18,26.18,,,,,
6.81,234.79,12,7.61,23.18,99.90976,28.2,28.2,,,,,
6.81,238.44,13,7.59,20.61,99.90008,30.2,30.2,,,,,
6.8,234.89,23,8.16,20.87,99.89521,32.21,32.21,,,,,
6.8,235.16,12,8.19,22.6,99.88981,34.21,34.21,,,,,
6.8,237.6,13,7.65,22.22,99.87982,36.22,36.22,,,,,
6.8,255.76,24,8.07,20.16,99.87092,38.23,38.23,,,,,
6.79,263.19,14,7.68,21.55,99.8616,40.25,40.25,,,,,
6.78,262.55,19,7.74,19.78,99.8524,42.25,42.25,,,,,
6.78,263.44,14,7.83,21.06,99.84284,44.26,44.26,,,,,
6.78,265.06,15,7.74,18.82,99.83387,46.28,46.28,,,,,
6.77,277.92,15,7.88,21.7,99.82418,48.3,48.3,,,,,
6.77,275.03,27,7.68,21.19,99.81462,50.31,50.31,,,,,
6.76,281.42,27,7.59,20.77,99.80506,52.31,52.31,,,,,
6.75,291.78,-27,7.87,21.49,99.79545,54.32,54.32,,,,,
6.75,290.33,27,7.45,22.23,99.78546,56.33,56.33,,,,,
6.75,288.92,27,8.36,21.62,99.78067,58.34,58.34,,,,,
6.75,287.85,16,8.31,19.97,99.7759,60.34,60.34,,,,,
6.75,298.09,17,7.46,22.34,99.76602,62.36,62.36,,,,,
6.74,295.96,22,7.66,19.37,99.7567,64.36,64.36,,,,,
6.74,305.2,19,7.34,21.98,99.74676,66.38,66.38,,,,,
6.75,311.34,17,7.52,21.52,99.73707,68.38,68.38,,,,,
6.74,295.4,23,7.44,22.71,99.72689,70.39,70.39,,,,,
6.74,296.15,-1122,7.58,22.1,99.71697,72.4,72.4,,,,,
6.74,301.32,27,7.37,21.74,99.70716,74.42,74.42,,,,,
6.74,301.7,18,7.76,21.25,99.69748,76.43,76.43,,,,,
new iteration,,,,,,,,,,,,
6.56,366.31,10,15.71,0,100,0,0,,,,,
6.57,366.09,10,19.16,0,99.99993,2.01,2.01,,,,,
6.58,365.86,10,19.39,0,99.99989,4.02,4.02,,,,,
6.58,367.22,10,11.98,10.1,99.99745,6.04,6.04,,,,,
6.57,367.9,10,9.44,15.04,99.99361,8.05,8.05,,,,,
6.56,366.54,10,8.09,19.86,99.98754,10.06,10.06,,,,,
6.56,365.41,27,9.34,16.65,99.9832,12.06,12.06,,,,,
6.55,366.99,14,8.1,23.06,99.97768,14.07,14.07,,,,,
6.58,370.16,10,8.24,20.15,99.96862,16.08,16.08,,,,,
6.23,381.12,11,9.52,16.25,99.96179,18.09,18.09,,,,,
6.1,386.19,23,7.76,20.87,99.95364,20.11,20.11,,,,,
6.51,382.61,11,7.41,21.51,99.94377,22.12,22.12,,,,,
6.56,387.36,23,7.83,20.01,99.93408,24.12,24.12,,,,,
6.55,392.39,27,7.35,23.77,99.92357,26.13,26.13,,,,,
6.54,394.83,13,7.9,21.26,99.91854,28.14,28.14,,,,,
6.46,394.1,17,7.73,23.29,99.91297,30.15,30.15,,,,,
6.5,394.6,12,7.38,23.94,99.90246,32.16,32.16,,,,,
6.59,395.57,13,7.51,22.35,99.89219,34.17,34.17,,,,,
6.56,397.82,13,8.01,19.71,99.88265,36.18,36.18,,,,,
6.43,407.83,13,7.31,20.4,99.87315,38.19,38.19,,,,,
6.55,413.81,13,7.36,23.1,99.86289,40.2,40.2,,,,,
6.56,414.35,24,7.36,22.18,99.85274,42.22,42.22,,,,,
6.53,427.25,13,7.43,23.3,99.8423,44.23,44.23,,,,,
6.56,447.76,27,7.39,20.3,99.83267,46.24,46.24,,,,,
6.5,450.88,15,8.16,18.43,99.82386,48.25,48.25,,,,,
6.56,450.88,27,7.78,19.96,99.81484,50.26,50.26,,,,,
6.62,457.46,16,9.73,17.32,99.80838,52.26,52.26,,,,,
6.57,450.95,16,8.61,18.28,99.80011,54.27,54.27,,,,,
6.47,448.26,-1,8.03,19.04,99.79173,56.28,56.28,,,,,
6.44,456.47,16,8.23,19.57,99.78296,58.28,58.28,,,,,
6.54,461.92,27,8.35,18.83,99.77455,60.29,60.29,,,,,
6.54,466.12,27,7.89,20.49,99.76581,62.3,62.3,,,,,
6.45,468.25,27,8.3,18.23,99.75743,64.31,64.31,,,,,
6.42,462.68,18,7.72,21.03,99.74855,66.32,66.32,,,,,
6.44,456.78,27,7.44,20.17,99.73902,68.33,68.33,,,,,
6.5,454.77,16,7.29,22.72,99.72891,70.34,70.34,,,,,
6.48,459.25,18,7.26,22.55,99.71886,72.35,72.35,,,,,
6.48,468.63,17,7.87,20.99,99.71396,74.37,74.37,,,,,
6.48,471.13,27,8.2,19.31,99.70934,76.39,76.39,,,,,
6.43,466.85,18,7.68,20.05,99.69998,78.4,78.4,,,,,
6.46,465.77,-62,7.51,21.22,99.69032,80.41,80.41,,,,,
6.53,461.01,19,7.65,20.08,99.68083,82.42,82.42,,,,,
6.48,445.8,19,8.37,18.75,99.6761,84.42,84.42,,,,,
6.44,447.14,20,7.91,19.71,99.67138,86.43,86.43,,,,,
6.52,455.77,19,7.34,22.31,99.6613,88.44,88.44,,,,,
6.46,457.13,20,7.39,21.7,99.65136,90.46,90.46,,,,,
6.47,468.46,27,7.56,21.71,99.6415,92.48,92.48,,,,,
new iteration,,,,,,,,,,,,
new iteration,,,,,,,,,,,,
new iteration,,,,,,,,,,,,
new iteration,,,,,,,,,,,,
new iteration,,,,,,,,,,,,
new iteration,,,,,,,,,,,,
7.16,168.28,2,water,1.01,,,,,,,,
new iteration,,,,,,,,,,,,
7.16,168.28,2,water,1.01,,,,,,,,
new iteration,,,,,,,,,,,,
7.12,170.65,4,water,1.01,,,,,,,,
6.88,170.65,4,water,1.51,,,,,,,,
6.97,170.65,4,water,1.51,,,,,,,,
6.97,170.65,5,water,2.01,,,,,,,,
6.78,170.65,4,all,1.01,,,,,,,   ,
new iteration,,,,,,,,,,,,'adam'
