,,,,,,,,
new iteration,,,,,,,,
6.08,-0.33,466.27,258.73,10,all,1.01,9,13
6.11,-0.36,476.64,248.36,10,all,1.01,8,12
6.11,-0.36,513.05,211.95,11,all,1.01,,
6.11,-0.36,521.9,203.1,11,all,1.01,,
5.95,-0.2,528.61,196.39,11,all,1.01,,
5.98,-0.23,537.65,187.35,12,all,1.01,,
5.95,-0.2,567.88,157.12,12,all,1.01,,
5.88,-0.13,582.28,142.72,12,all,1.01,,
5.75,0,542.22,182.78,12,all,1.01,,
5.72,0.03,609.46,115.54,13,all,1.01,,
5.72,0.03,686.36,38.64,13,tds up,1.01,,
5.75,0,706.16,18.84,13,tds up,1.01,,
5.72,0.03,744.29,-19.29,13,tds up,1.01,,
new iteration,,,,,,,,
6.41,-0.66,151.91,573.09,10,all,1.01,,
6.31,-0.56,176.26,548.74,10,all,1.01,,
6.31,-0.56,239.33,485.67,11,all,1.01,,
6.08,-0.33,229.17,495.83,11,all,1.01,,
6.05,-0.3,256.28,468.72,11,all,1.01,,
6.11,-0.36,309.32,415.68,12,all,1.01,,
6.11,-0.36,297.23,427.77,12,all,1.01,,
5.98,-0.23,342.65,382.35,12,all,1.01,,
5.88,-0.13,366.02,358.98,13,all,1.01,,
5.92,-0.17,380.68,344.32,12,all,1.01,,
5.92,-0.17,399.35,325.65,13,all,1.01,,
5.92,-0.17,412.66,312.34,13,all,1.01,,
5.82,-0.07,432.08,292.92,13,all,1.01,,
5.75,0,462.17,262.83,14,all,1.01,,
5.69,0.06,476.64,248.36,14,all,1.01,,
5.75,0,497.83,227.17,14,tds up,1.01,,
5.72,0.03,528.61,196.39,15,tds up,1.01,,
5.72,0.03,546.82,178.18,14,tds up,1.01,,
5.65,0.1,577.45,147.55,15,tds up,1.01,,
5.69,0.06,609.46,115.54,15,tds up,1.01,,
5.72,0.03,617.06,107.94,15,tds up,1.01,,
5.72,0.03,667.07,57.93,15,tds up,1.01,,
5.72,0.03,683.58,41.42,16,tds up,1.01,,
5.65,0.1,697.61,27.39,15,tds up,1.01,,
5.65,0.1,720.61,4.38999999999999,15,tds up,1.01,,
5.65,0.1,747.3,-22.3,16,tds up,1.01,,
,,,,,,,,
,-0.4,,288.54,,,,10,14.5
