5.96,264.99,4.22,0.0,0.0
6.08,264.99,4.22,2.0,2.0
6.00,261.31,4.22,4.01,4.01
6.21,266.82,4.22,6.01,6.01
5.96,259.48,4.22,8.01,8.01
5.79,263.15,4.22,0.0,10.02
5.92,264.99,4.22,12.02,12.02
5.54,261.31,4.22,0.0,14.02
5.79,261.31,4.22,0.0,16.02
5.75,266.82,4.24,0.0,18.03
5.88,263.15,4.24,20.03,20.03
6.00,272.33,4.24,22.03,22.03
6.04,272.33,3.81,24.03,24.03
6.21,268.66,4.22,26.04,26.04
6.25,266.82,4.22,28.04,28.04
6.25,263.15,4.22,30.04,30.04
6.08,266.82,4.24,32.05,32.05
5.92,270.50,4.22,34.05,34.05
5.79,268.66,4.24,0.0,36.05
5.75,270.50,4.22,0.0,38.06
5.96,274.17,4.24,40.06,40.06
5.67,274.17,4.22,0.0,42.06
5.67,264.99,27.00,0.0,44.06
5.58,316.66,21.22,0.0,46.07
5.29,449.48,11.31,0.0,48.07
5.17,459.97,26.97,0.0,50.07
5.08,451.57,4.92,0.0,52.08
5.21,542.07,5.14,0.0,54.08
5.58,535.08,5.39,0.0,56.08
5.58,585.38,4.76,0.0,58.09
5.17,577.99,5.38,0.0,60.09
5.21,570.67,5.00,0.0,62.09
4.96,623.45,5.92,0.0,64.09
5.25,633.93,6.00,0.0,66.1
5.63,641.88,6.06,0.0,68.1
5.29,652.62,6.06,0.0,70.1
5.21,652.62,5.68,0.0,72.11
5.29,623.45,6.23,0.0,74.11
5.38,669.00,5.87,0.0,76.11
5.58,697.08,5.95,0.0,78.12
5.38,671.76,6.87,0.0,80.12
5.00,680.11,6.97,0.0,82.12
5.04,747.17,6.57,0,0
